date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:40	54945/54945	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:39%20GMT	https://oscwebdesign.biz/industries/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/industries/index.html	(from https://oscwebdesign.biz/)
12:51:41	254/254	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f7c3b69-fe%22	https://oscwebdesign.biz/wp-content/uploads/2020/10/arrow-left.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/10/arrow-left.svg	(from https://oscwebdesign.biz/)
12:51:41	52597/52597	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:41%20GMT	https://oscwebdesign.biz/industries/b2b-dealers/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/industries/b2b-dealers/index.html	(from https://oscwebdesign.biz/)
12:51:42	52666/52666	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:41%20GMT	https://oscwebdesign.biz/industries/wholesale/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/industries/wholesale/index.html	(from https://oscwebdesign.biz/)
12:51:42	53125/53125	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:41%20GMT	https://oscwebdesign.biz/industries/quotable-services/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/industries/quotable-services/index.html	(from https://oscwebdesign.biz/)
12:51:42	254/254	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f7c3b6a-fe%22	https://oscwebdesign.biz/wp-content/uploads/2020/10/arrow-right.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/10/arrow-right.svg	(from https://oscwebdesign.biz/)
12:51:42	54297/54297	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:42%20GMT	https://oscwebdesign.biz/industries/flat-fee-services/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/industries/flat-fee-services/index.html	(from https://oscwebdesign.biz/)
12:51:42	536/536	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d8c6778-218%22	https://oscwebdesign.biz/wp-content/uploads/2019/09/arrow.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2019/09/arrow.svg	(from https://oscwebdesign.biz/)
12:51:43	53810/53810	---M--	200	added ('OK')	image/webp	etag:%22608e20c5-d232%22	https://oscwebdesign.biz/wp-content/uploads/2021/05/jb-gottstein-portfolio-highlight.webp	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2021/05/jb-gottstein-portfolio-highlight.webp	(from https://oscwebdesign.biz/)
12:51:43	52884/52884	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:43%20GMT	https://oscwebdesign.biz/our-clients/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/our-clients/index.html	(from https://oscwebdesign.biz/)
12:51:43	43854/43854	---M--	200	added ('OK')	image/webp	etag:%22608e21b8-ab4e%22	https://oscwebdesign.biz/wp-content/uploads/2021/05/osc-difference.webp	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2021/05/osc-difference.webp	(from https://oscwebdesign.biz/)
12:51:44	1587/1587	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225eb9326f-633%22	https://oscwebdesign.biz/wp-content/uploads/2020/05/web-design.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/05/web-design.svg	(from https://oscwebdesign.biz/)
12:51:45	66042/66042	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:44%20GMT	https://oscwebdesign.biz/category/search-engine-optimization/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/category/search-engine-optimization/index.html	(from https://oscwebdesign.biz/)
12:51:45	68185/68185	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:44%20GMT	https://oscwebdesign.biz/blog/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/blog/index.html	(from https://oscwebdesign.biz/)
12:51:45	56494/56494	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:44%20GMT	https://oscwebdesign.biz/our-process/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/our-process/index.html	(from https://oscwebdesign.biz/)
12:51:45	730/730	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225eb9324e-2da%22	https://oscwebdesign.biz/wp-content/uploads/2020/05/app-design.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/05/app-design.svg	(from https://oscwebdesign.biz/)
12:51:45	1117/1117	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225eb93259-45d%22	https://oscwebdesign.biz/wp-content/uploads/2020/05/Development.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/05/Development.svg	(from https://oscwebdesign.biz/)
12:51:45	901/901	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225eb9325a-385%22	https://oscwebdesign.biz/wp-content/uploads/2020/05/digital-marketing.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/05/digital-marketing.svg	(from https://oscwebdesign.biz/)
12:51:46	65887/65887	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:46%20GMT	https://oscwebdesign.biz/category/web-marketing/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/category/web-marketing/index.html	(from https://oscwebdesign.biz/)
12:51:46	1366/1366	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225eb9324b-556%22	https://oscwebdesign.biz/wp-content/uploads/2020/05/anaytics.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/05/anaytics.svg	(from https://oscwebdesign.biz/)
12:51:46	1519/1519	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225eb9326d-5ef%22	https://oscwebdesign.biz/wp-content/uploads/2020/05/Social-media.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/05/Social-media.svg	(from https://oscwebdesign.biz/)
12:51:46	65983/65983	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:46%20GMT	https://oscwebdesign.biz/category/website-design/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/category/website-design/index.html	(from https://oscwebdesign.biz/)
12:51:47	530/530	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d91d547-212%22	https://oscwebdesign.biz/wp-content/uploads/2019/09/arrow-right-wh.svg	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2019/09/arrow-right-wh.svg	(from https://oscwebdesign.biz/)
12:51:48	50014/50014	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:47%20GMT	https://oscwebdesign.biz/category/case-studies/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/category/case-studies/index.html	(from https://oscwebdesign.biz/)
12:51:48	64361/64361	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:47%20GMT	https://oscwebdesign.biz/category/business/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/category/business/index.html	(from https://oscwebdesign.biz/)
12:51:48	49909/49909	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2011:51:48%20GMT	https://oscwebdesign.biz/our-story/	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/our-story/index.html	(from https://oscwebdesign.biz/)
12:51:48	1481/1481	---M--	200	added ('OK')	image/png	etag:%225e707044-c46%22	https://oscwebdesign.biz/wp-content/uploads/2020/03/Group-1980.png	C:/My%20Web%20Sites/webdesign/oscwebdesign.biz/wp-content/uploads/2020/03/Group-1980.png	(from https://oscwebdesign.biz/)
